ingredient,variety,certification,emissions,category
broad beans,fresh,swiss integrated production,0.537,"Grains, Beans and Nuts"
fava beans,fresh,swiss integrated production,0.537,"Grains, Beans and Nuts"
green beans,fresh,swiss integrated production,0.537,Vegetables
kidney beans,fresh,swiss integrated production,0.537,"Grains, Beans and Nuts"
mung beans,fresh,swiss integrated production,0.537,"Grains, Beans and Nuts"
navy beans,fresh,swiss integrated production,0.537,"Grains, Beans and Nuts"
pinto beans,fresh,swiss integrated production,0.537,"Grains, Beans and Nuts"
runner beans,fresh,swiss integrated production,0.537,"Grains, Beans and Nuts"
fennel,fresh,conventional,0.498,Vegetables
fish oil,fresh,conventional,1.2,Fish and Seafood
barracuda,fresh,conventional,0.55,Vegetables
basa,fresh,conventional,0.55,Meat and Poultry
bass,fresh,conventional,0.55,Meat and Poultry
black cod,fresh,conventional,0.55,"Grains, Beans and Nuts"
blowfish,fresh,conventional,0.55,Fish and Seafood
brill,fresh,conventional,0.55,Meat and Poultry
butter fish,fresh,conventional,0.55,Fish and Seafood
catfish,fresh,conventional,0.55,Fish and Seafood
cod,fresh,conventional,0.55,"Grains, Beans and Nuts"
dorade,fresh,conventional,0.55,Fruits
flounder,fresh,conventional,0.55,Fish and Seafood
grouper,fresh,conventional,0.55,Fish and Seafood
haddock,fresh,conventional,0.55,Fish and Seafood
halibut,fresh,conventional,0.55,Fish and Seafood
lingcod,fresh,conventional,0.55,"Grains, Beans and Nuts"
monkfish,fresh,conventional,0.55,Fish and Seafood
mullet,fresh,conventional,0.55,Meat and Poultry
patagonian toothfish,fresh,conventional,0.55,Fish and Seafood
perch,fresh,conventional,0.55,Fruits
pike,fresh,conventional,0.55,Fish and Seafood
pollock,fresh,conventional,0.55,Meat and Poultry
salmon,fresh,conventional,0.55,Fish and Seafood
sanddab,fresh,conventional,0.55,Dairy Foods
sea bass,fresh,conventional,0.55,Fish and Seafood
shad,fresh,conventional,0.55,Fish and Seafood
skate,fresh,conventional,0.55,Meat and Poultry
sole,fresh,conventional,0.55,Fish and Seafood
sturgeon,fresh,conventional,0.55,Meat and Poultry
tilefish,fresh,conventional,0.55,Fish and Seafood
turbot,fresh,conventional,0.55,Meat and Poultry
whitebait,fresh,conventional,0.55,Fruits
whitefish,fresh,conventional,0.55,Fish and Seafood
whiting,fresh,conventional,0.55,Dairy Foods
anchovy,fresh,conventional,0.599,Fish and Seafood
hake,fresh,conventional,0.8,Fish and Seafood
tuna,fresh,conventional,2.93,Fish and Seafood
bluefish,fresh,conventional,2.93,Fish and Seafood
bombay duck,fresh,conventional,2.93,Meat and Poultry
bream,fresh,conventional,2.93,Dairy Foods
dogfish,fresh,conventional,2.93,Fish and Seafood
herring,fresh,conventional,2.93,Vegetables
john dory,fresh,conventional,2.93,"Grains, Beans and Nuts"
mackerel,fresh,conventional,2.93,Dairy Foods
mahi mahi,fresh,conventional,2.93,Fish and Seafood
orange roughy,fresh,conventional,2.93,Fruits
pomfret,fresh,conventional,2.93,Meat and Poultry
pompano,fresh,conventional,2.93,Dairy Foods
sardine,fresh,conventional,2.93,Vegetables
sprat,fresh,conventional,2.93,Vegetables
swordfish,fresh,conventional,2.93,Fish and Seafood
grapes,fresh,conventional,0.333,Fruits
green asparagus,fresh,conventional,1.15,Vegetables
bell pepper,fresh,conventional,2.62,Vegetables
green bell pepper,fresh,conventional,2.62,Vegetables
habanero,fresh,conventional,2.62,Vegetables
jalapeno,fresh,conventional,2.62,Vegetables
okra,fresh,conventional,2.62,Vegetables
red bell pepper,fresh,conventional,2.62,Vegetables
red chilli,fresh,conventional,2.62,Vegetables
yellow bell pepper,fresh,conventional,2.62,Vegetables
iceberg lettuce,fresh,conventional,0.253,Vegetables
kiwi,fresh,conventional,0.594,Fruits
lemon,fresh,conventional,0.409,Fruits
lemon juice,fresh,conventional,0.409,Fruits
lemon zest,fresh,conventional,0.409,Fruits
lime,fresh,conventional,0.409,Fruits
bibb lettuce,fresh,conventional,3.59,Vegetables
lettuce,fresh,conventional,3.59,Vegetables
linseed,fresh,conventional,1.17,"Grains, Beans and Nuts"
baby corn,fresh,conventional,0.56,Vegetables
corn,fresh,conventional,0.56,"Grains, Beans and Nuts"
corn,fresh,organic,0.528,"Grains, Beans and Nuts"
corn,fresh,swiss integrated production,0.354,"Grains, Beans and Nuts"
corn kernel,fresh,conventional,1.41,"Grains, Beans and Nuts"
corn kernel,fresh,organic,1.52,"Grains, Beans and Nuts"
corn kernel,fresh,swiss integrated production,1.03,"Grains, Beans and Nuts"
cornstarch,fresh,conventional,0.928,"Grains, Beans and Nuts"
clementine,fresh,conventional,0.713,Fruits
mandarine,fresh,conventional,0.713,Fruits
tangerine,fresh,conventional,0.713,Fruits
bitter melon,fresh,conventional,0.226,Fruits
cantaloupe,fresh,conventional,0.226,Fruits
honeydew,fresh,conventional,0.226,Fruits
melon,fresh,conventional,0.226,Fruits
catnip,fresh,conventional,0.406,Vegetables
mint,fresh,conventional,0.406,Fruits
peppermint,fresh,conventional,0.406,Fruits
